date,month,year, pm25
8,4,2020,100
9,4,2020,99
10,4,2020,124
11,4,2020,118
12,4,2020,105
13,4,2020,129
14,4,2020,121
15,4,2020,128
16,4,2020,133
17,4,2020,76
18,4,2020,84
19,4,2020,82
20,4,2020,92
21,4,2020,92
22,4,2020,117
23,4,2020,115
24,4,2020,133
25,4,2020,77
26,4,2020,103
27,4,2020,82
28,4,2020,105
29,4,2020,135
30,4,2020,136
1,5,2020,146
2,5,2020,102
3,5,2020,93
4,5,2020,79
5,5,2020,118
6,5,2020,139
7,5,2020,86
8,5,2020,120
9,5,2020,140
10,5,2020,111
11,5,2020,122
12,5,2020,118
13,5,2020,152
14,5,2020,124
15,5,2020,120
16,5,2020,143
17,5,2020,160
18,5,2020,159
19,5,2020,158
20,5,2020,134
21,5,2020,118
22,5,2020,149
23,5,2020,136
24,5,2020,121
25,5,2020,130
26,5,2020,127
27,5,2020,118
28,5,2020,105
29,5,2020,78
30,5,2020,76
31,5,2020,68
1,6,2020,106
2,6,2020,104
3,6,2020,127
4,6,2020,132
5,6,2020,99
6,6,2020,87
7,6,2020,104
8,6,2020,108
9,6,2020,140
10,6,2020,133
11,6,2020,123
12,6,2020,149
13,6,2020,130
14,6,2020,148
15,6,2020,121
16,6,2020,106
17,6,2020,89
18,6,2020,100
19,6,2020,138
20,6,2020,103
21,6,2020,109
22,6,2020,109
23,6,2020,79
24,6,2020,87
25,6,2020,92
26,6,2020,114
27,6,2020,105
28,6,2020,138
29,6,2020,104
30,6,2020,109
1,1,2020,357
2,1,2020,325
3,1,2020,276
4,1,2020,260
5,1,2020,219
6,1,2020,210
7,1,2020,187
8,1,2020,189
9,1,2020,172
10,1,2020,199
11,1,2020,214
12,1,2020,253
13,1,2020,265
14,1,2020,183
15,1,2020,180
16,1,2020,211
17,1,2020,181
18,1,2020,194
19,1,2020,194
20,1,2020,211
21,1,2020,256
22,1,2020,268
23,1,2020,145
24,1,2020,157
25,1,2020,186
26,1,2020,246
27,1,2020,253
